question;answer;;
who is pm of India;Modi;;
Who is Indian prime minister;Modi;;
who is the leader of BJP;Modi;;
Who is Indian pm;Modi;;
who created you;I was made by Mr. Ninad Mandavkar. He is a Masters Graduate from TU Ilmenau. He is ML enthusiast and his current interests lies in NLP, Deep Learning & Computer Vision;;
who developed you;I was made by Mr. Ninad Mandavkar. He is a Masters Graduate from TU Ilmenau. He is ML enthusiast and his current interests lies in NLP, Deep Learning & Computer Vision;;
who discovred you;I was made by Mr. Ninad Mandavkar. He is a Masters Graduate from TU Ilmenau. He is ML enthusiast and his current interests lies in NLP, Deep Learning & Computer Vision;;
who made you;I was made by Mr. Ninad Mandavkar. He is a Masters Graduate from TU Ilmenau. He is ML enthusiast and his current interests lies in NLP, Deep Learning & Computer Vision;;
Who is harry potter?;Harry Potter is a fictional character written by J.K. Rowling  and he is the lead hero of a 7 parter series by the same name 'Harry Potter'.;;
Who is JK rowling;J. K. Rowling is  a British author who created the series 'Harry Potter'. Rowling was born 31 July 1965 at Chipping Sodbury Cottage Hospital in Chipping Sodbury, Yate, Gloucesterhire England. She grew up in Tutshill, Gloucestershire, and went to school at Wyedean Comprehensive. She earned a degree in French and Classics at the University of Exeter. ;;
Capital of Afghanistan;Kabul;;
Capital of Albania;Tirana;;
Capital of Algeria;Algiers;;
Capital of Andorra;Andorra la Vella;;
Capital of Angola;Luanda;;
Capital of Antigua and Barbuda;St. John's;;
Capital of Argentina;Buenos Aires;;
Capital of Armenia;<;;
Capital of Australia;Canberra;;
Capital of Austria;Vienna;;
Capital of Azerbaijan;Baku;;
Capital of The Bahamas;Nassau;;
Capital of Bahrain;Manama;;
Capital of Bangladesh;Dhaka;;
Capital of Barbados;Bridgetown;;
Capital of Belarus;Minsk;;
Capital of Belgium;Brussels;;
Capital of Belize;Belmopan;;
Capital of Benin;Porto-Novo;;
Capital of Bhutan;Thimphu;;
Capital of Bolivia;Sucre;;
Capital of Bosnia and Herzegovina;Sarajevo;;
Capital of Botswana;Gaborone;;
Capital of Brazil;Brasília;;
Capital of Brunei;Bandar Seri Begawan;;
Capital of Bulgaria;Sofia;;
Capital of Burkina Faso;Ouagadougou;;
Capital of Burundi;Gitega;;
Capital of Cabo Verde;Praia;;
Capital of Cambodia;Phnom Penh;;
Capital of Cameroon;Yaoundé;;
Capital of Canada;Ottawa;;
Capital of Central African Republic;Bangui;;
Capital of Chad;N'Djamena;;
Capital of Chile;Santiago;;
Capital of China;Beijing;;
Capital of Colombia;Bogotá;;
Capital of Comoros;Moroni;;
Capital of Congo;Brazzaville;;
Capital of Costa Rica;San José;;
Capital of Croatia;Zagreb;;
Capital of Cuba;Havana;;
Capital of Cyprus;Nicosia;;
Capital of Czech Republic;Prague;;
Capital of Democratic Republic of the Congo;Kinshasa;;
Capital of Denmark;Copenhagen;;
Capital of Djibouti;Djibouti (city);;
Capital of Dominica;Roseau;;
Capital of Dominican Republic;Santo Domingo;;
Capital of East Timor;Dili;;
Capital of Ecuador;Quito;;
Capital of Egypt;Cairo;;
Capital of El Salvador;San Salvador;;
Capital of Equatorial Guinea;Malabo;;
Capital of Eritrea;Asmara;;
Capital of Estonia;Tallinn;;
Capital of Eswatini;Mbabane (executive); Lobamba (legislative);
Capital of Ethiopia;Addis Ababa;;
Capital of Fiji;Suva;;
Capital of Finland;Helsinki;;
Capital of France;Paris;;
Capital of Gabon;Libreville;;
Capital of The Gambia;Banjul;;
Capital of Georgia;Tbilisi;;
Capital of Germany;Berlin;;
Capital of Ghana;Accra;;
Capital of Greece;Athens;;
Capital of Grenada;St. George's;;
Capital of Guatemala;Guatemala City;;
Capital of Guinea;Conakry;;
Capital of Guinea-Bissau;Bissau;;
Capital of Guyana;Georgetown;;
Capital of Haiti;Port-au-Prince;;
Capital of Honduras;Tegucigalpa;;
Capital of Hungary;Budapest;;
Capital of Iceland;Reykjavík;;
Capital of India;New Delhi;;
Capital of Indonesia;Jakarta;;
Capital of Iran;Tehran;;
Capital of Iraq;Baghdad;;
Capital of Ireland;Dublin;;
Capital of Israel;Jerusalem;;
Capital of Italy;Rome;;
Capital of Ivory Coast;Yamoussoukro (political capital); Abidjan (economic capital);
Capital of Jamaica;Kingston;;
Capital of Japan;Tokyo;;
Capital of Jordan;Amman;;
Capital of Kazakhstan;Nur-Sultan (formerly Astana);;
Capital of Kenya;Nairobi;;
Capital of Kiribati;South Tarawa;;
Capital of Kosovo;Pristina;;
Capital of Kuwait;Kuwait City;;
Capital of Kyrgyzstan;Bishkek;;
Capital of Laos;Vientiane;;
Capital of Latvia;Riga;;
Capital of Lebanon;Beirut;;
Capital of Lesotho;Maseru;;
Capital of Liberia;Monrovia;;
Capital of Libya;Tripoli;;
Capital of Liechtenstein;Vaduz;;
Capital of Lithuania;Vilnius;;
Capital of Luxembourg;Luxembourg City;;
Capital of Madagascar;Antananarivo;;
Capital of Malawi;Lilongwe;;
Capital of Malaysia;Kuala Lumpur;;
Capital of Maldives;Malé;;
Capital of Mali;Bamako;;
Capital of Malta;Valletta;;
Capital of Marshall Islands;Majuro;;
Capital of Mauritania;Nouakchott;;
Capital of Mauritius;Port Louis;;
Capital of Mexico;Mexico City;;
Capital of Federated States of Micronesia;Palikir;;
Capital of Moldova;Chi?in?u;;
Capital of Monaco;Monaco;;
Capital of Mongolia;Ulaanbaatar;;
Capital of Montenegro;Podgorica;;
Capital of Morocco;Rabat;;
Capital of Mozambique;Maputo;;
Capital of Myanmar;Naypyidaw;;
Capital of Namibia;Windhoek;;
Capital of Nauru;Yaren (de facto);;
Capital of Nepal;Kathmandu;;
Capital of Netherlands;Amsterdam (official); The Hague (seat of government);
Capital of New Zealand;Wellington;;
Capital of Nicaragua;Managua;;
Capital of Niger;Niamey;;
Capital of Nigeria;Abuja;;
Capital of North Korea;Pyongyang;;
Capital of North Macedonia;Skopje;;
Capital of Norway;Oslo;;
Capital of Oman;Muscat;;
Capital of Pakistan;Islamabad;;
Capital of Palau;Ngerulmud;;
Capital of Panama;Panama City;;
Capital of Papua New Guinea;Port Moresby;;
Capital of Paraguay;Asunción;;
Capital of Peru;Lima;;
Capital of Philippines;Manila;;
Capital of Poland;Warsaw;;
Capital of Portugal;Lisbon;;
Capital of Qatar;Doha;;
Capital of Romania;Bucharest;;
Capital of Russia;Moscow;;
Capital of Rwanda;Kigali;;
Capital of Saint Kitts and Nevis;Basseterre;;
Capital of Saint Lucia;Castries;;
Capital of Saint Vincent and the Grenadines;Kingstown;;
Capital of Samoa;Apia;;
Capital of San Marino;San Marino;;
Capital of Sao Tome and Principe;São Tomé;;
Capital of Saudi Arabia;Riyadh;;
Capital of Senegal;Dakar;;
Capital of Serbia;Belgrade;;
Capital of Seychelles;Victoria;;
Capital of Sierra Leone;Freetown;;
Capital of Singapore;Singapore;;
Capital of Slovakia;Bratislava;;
Capital of Slovenia;Ljubljana;;
Capital of Solomon Islands;Honiara;;
Capital of Somalia;Mogadishu;;
Capital of South Africa;Pretoria (executive); Bloemfontein (judicial); Cape Town (legislative)
Capital of South Korea;Seoul;;
Capital of South Sudan;Juba;;
Capital of Spain;Madrid;;
Capital of Sri Lanka;Sri Jayawardenepura Kotte (official); Colombo (commercial);
Capital of Sudan;Khartoum;;
Capital of Sweden;Stockholm;;
Capital of Switzerland;Bern;;
Capital of Syria;Damascus;;
Capital of Taiwan;Taipei;;
Capital of Tajikistan;Dushanbe;;
Capital of Tanzania;Dodoma (official); Dar es Salaam (administrative);
Capital of Thailand;Bangkok;;
Capital of Togo;Lomé;;
Capital of Tonga;Nuku?alofa;;
